Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
  Black coal,Non-Renewable,,,,,,,,,,,,,
  Brown coal,Non-Renewable,52094.00,51541.70,51066.50,52059.70,45317.60,43977.70,48336.80,46234.10,43594.10,36021.40,34495.20,33661.60,34060.00
  Natural gas,Non-Renewable,1451.90,1697.90,1289.80,1142.50,3247.70,3239.30,2390.90,1892.20,2658.70,3829.90,3334.00,3117.00,1956.90
  Oil products,Non-Renewable,20.40,1.10,38.20,4.00,10.70,145.80,156.00,70.60,109.30,178.00,204.70,202.00,179.10
  Other,Non-Renewable,61.10,115.90,114.50,,,,,,,,,,
"  Bagasse, wood",Renewable,,,,187.10,171.10,188.80,252.00,235.40,263.40,241.00,235.50,243.80,229.70
  Biogas,Renewable,292.00,303.40,339.60,672.20,674.00,698.10,420.30,512.30,431.10,460.20,497.60,535.70,499.30
  Wind,Renewable,573.00,1406.00,1434.40,1416.20,2005.10,2771.90,3067.80,3341.80,3560.90,4303.90,4863.70,5596.20,7080.60
  Hydro,Renewable,2234.50,1975.00,3910.60,2393.30,3293.80,2595.00,2513.60,3228.50,3673.30,2803.10,2702.80,2310.80,2852.00
Large-scale solar PV,Renewable,,,,,,4.40,9.10,11.50,13.80,39.40,462.50,872.50,1455.50
  Small-scale solar PV,Renewable,24.10,66.20,205.50,378.70,580.10,674.20,874.80,1056.10,1231.70,1481.20,1900.00,2457.30,3176.40
  Geothermal,Renewable,,,,,,,,,,,,,
